Metric,Mean,StandardDeviation,Median,Percentile95,Maximum
horizonMSE,0.690829276162614,0.226018914076081,0.675357215796856,1.08528144625636,1.16982645672977
positionMSE,0.0262831719596254,0.109511787726048,1.95900607743231e-05,0.178497167068771,0.613039747381043
velocityMSE,2.87803811465598e-05,1.44712768447909e-05,2.58289656848228e-05,3.56284709543306e-05,0.000124004104064349
totalMSE,0.026311952340772,0.109519455229834,5.00692788253279e-05,0.178531168279245,0.613075202865648
finalMaxError,0.0855681016972183,0.336710786535026,0.0041927072545128,0.548151610866926,1.85765728092152
triggerRate,0.0746572300860394,0.0102632667340454,0.0758395781293367,0.0894671107410491,0.0967249514293644
ffAcceptanceRate,0.891305198064458,0.0340113734997854,0.897452968691318,0.922730194439981,0.931087289433384
lfAcceptanceRate,0.91969571230982,0.00748970728809634,0.920470262793914,0.928769017980636,0.934301521438451
ffFalseRejectionRate,0.00860541085694094,0.0333189204695958,0,0.0627460304264691,0.157323688969259
lfFalseRejectionRate,0,0,0,0,0
ffLeakageRate,0.00275724729192404,0.00916021104450763,0,0.015488614800759,0.0540540540540541
lfLeakageRate,0,0,0,0,0
maxCouplingGain,6.8566657919769,1.05525408396795,6.94439805200924,8.46905199779325,8.6673171978752
cpuTime,0.335754648,0.0202539583841438,0.33002315,0.36053214,0.4243278
