gammaFFn,gammaLFn,gammaFF,gammaLF,E_bar,tau_bar,ell_FF,ell_LF,FR_FF,J,Selected
0.8,0.5,0.0519245791430011,5e-07,3.35900859586102,0.0565223424923675,0,0,1,1.69080876642898,0
1.47,0.5,0.0954114141752646,5e-07,3.35900859586102,0.0565223424923675,0,0,1,1.69080876642898,0
2.12,0.5,0.137600134728953,5e-07,3.35900859586102,0.0565223424923675,0,0,1,1.69080876642898,0
3.14,0.5,0.203803973136279,5e-07,3.34022838612452,0.057466000555093,0,0,0.971492751776756,1.68160739317328,0
4.85,0.5,0.314792761054444,5e-07,2.38220896956457,0.0622814321398834,0,0,0.568724861532683,1.20356077121026,0
7.27,0.5,0.471864612962023,5e-07,1.34046175826125,0.0692894809880655,0,0,0.201952149545389,0.684088775328239,0
9.69,0.5,0.628936464869601,5e-07,0.70590799102786,0.0707188454066056,0,0,0.0323904761904762,0.367097764595251,0
14.54,0.5,0.943729225924046,5e-07,0.643128975203562,0.0713433250069387,0.00263157894736842,0,0,0.336227889445274,1
19.38,0.5,1.2578729297392,5e-07,0.703003894899016,0.0709963918956425,0.0306849920461536,0,0.0105898213683856,0.37030397463556,0
